lad,pop,hd_mort,edu_lv3,income,health_eat,community,fuel_poverty,gp_access,ae_attn,obesity,chd_emer_elec_ratio,test
E06000001,93242,48.92,51.300000000000004,15071,19.278770003823258,1020.75,12.6,72.16067777584756,564.3193367025075,13.7325035576984,1.8924302788844622,FALSE
E06000002,140545,67.4,45.9,14968,20.036655805687204,964.21,15.4,72.0607712504212,351.52029354391925,12.4628562926435,1.3541963015647227,FALSE
E06000003,136718,54.27,51.2,14529,21.733949327173395,806.47,12.1,72.06077125042118,351.5202935439192,12.4628562926435,1.28892455858748,TRUE
E06000004,197213,40.93,52.900000000000006,15395,21.776019571610757,940.14,11.3,72.16067777584756,564.3193367025076,13.7325035576984,1.49338146811071,FALSE
E06000005,106566,44.37,54.6,15487,22.52472893285144,639.38,12.2,73.36218912772357,558.8947996138046,14.254000554990299,1.4071146245059287,FALSE
E06000006,128432,47.58,54.400000000000006,15396,21.63302108901468,862.71,11.8,75.15689000789148,754.98609173936,14.1024904214559,1.3469945355191257,FALSE
E06000007,209547,43.98,63.3,19377,26.58924168347843,733.12,9.8,79.03343023255815,333.96548999324744,10.4011087185596,1.3907692307692308,FALSE
E06000008,148942,75.96,61.199999999999996,12450,23.97135640633346,675.08,16.5,61.86204763377668,364.43634434780245,11.4231493574433,1.0874922982131854,FALSE
E06000009,139305,70.5,52.300000000000004,14795,23.852139020479886,1015.11,17.5,62.937703117132784,311.03847120945437,14.1885325558795,0.9962349397590361,TRUE
E06000010,260645,59.77,41.300000000000004,13380,20.925047391735667,907.02,12,56.98326613504371,528.9732554565016,11.5348288075561,0.8368355995055624,FALSE
E06000011,339614,38.14,59.099999999999994,18427,26.957914064307193,640.88,8.5,66.4259307504024,383.5451319015647,12.126627530011975,0.8463999999999999,FALSE
E06000012,159821,50.87,46.6,15039,22.845880081073748,653.85,11.5,56.97871815506436,350.845774895692,12.5642147087821,1.1820809248554913,FALSE
E06000013,172005,36.7,50.6,14953,23.32655861355482,698.04,9.1,70.150630527124,375.6455447167801,11.8206512348026,1.0930232558139534,FALSE
E06000014,209893,32.43,62.9,18070,26.512078744064482,712.54,8.9,80.16054221696419,282.2758639957534,10.2696346073079,1.4774774774774777,FALSE
E06000016,355218,61.24,51,12848,22.057413798188954,700.27,13.9,67.27139098563362,379.23827951186047,8.45234146628766,1.5012594458438286,FALSE
