"Area Name","Indicator","Group","Time period","Measure","Value","Lower 95% CI","Upper 95% CI"
"England","Under 75 mortality rate from all cardiovascular diseases","","2001 - 03","Value","138","137.3","138.6"
"England","Under 75 mortality rate from all cardiovascular diseases","","2002 - 04","Value","129.5","128.9","130.2"
"England","Under 75 mortality rate from all cardiovascular diseases","","2003 - 05","Value","120.9","120.3","121.5"
"England","Under 75 mortality rate from all cardiovascular diseases","","2004 - 06","Value","112.3","111.6","112.9"
"England","Under 75 mortality rate from all cardiovascular diseases","","2005 - 07","Value","105.1","104.5","105.7"
"England","Under 75 mortality rate from all cardiovascular diseases","","2006 - 08","Value","99","98.5","99.6"
"England","Under 75 mortality rate from all cardiovascular diseases","","2007 - 09","Value","93.1","92.5","93.6"
"England","Under 75 mortality rate from all cardiovascular diseases","","2008 - 10","Value","88.6","88","89.1"
"England","Under 75 mortality rate from all cardiovascular diseases","","2009 - 11","Value","84","83.5","84.6"
"England","Under 75 mortality rate from all cardiovascular diseases","","2010 - 12","Value","80.8","80.3","81.3"
"England","Under 75 mortality rate from all cardiovascular diseases","","2011 - 13","Value","77.8","77.3","78.3"
"England","Under 75 mortality rate from all cardiovascular diseases","","2012 - 14","Value","75.7","75.2","76.2"
"England","Under 75 mortality rate from all cardiovascular diseases","","2013 - 15","Value","74.6","74.2","75.1"
"England","Under 75 mortality rate from all cardiovascular diseases","","2014 - 16","Value","73.5","73","73.9"
"England","Under 75 mortality rate from all cardiovascular diseases","","2015 - 17","Value","72.5","72.1","72.9"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2010 - 12","(log) Relative index of inequality","3.6","3.5","3.7"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2011 - 13","(log) Relative index of inequality","3.6","3.5","3.7"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2012 - 14","(log) Relative index of inequality","3.7","3.6","3.8"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2013 - 15","(log) Relative index of inequality","3.8","3.7","3.9"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2014 - 16","(log) Relative index of inequality","3.9","3.8","4"
"England","Under 75 mortality rate from all cardiovascular diseases","LSOA deprivation deciles","2015 - 17","(log) Relative index of inequality","4","3.9","4.1"
"England","Under 75 mortality rate from all cardiovascular diseases","Most deprived decile","2010 - 12","Value","152.5","150","154.9"
"England","Under 75 mortality rate from all cardiovascular diseases","Second most deprived decile","2010 - 12","Value","125.3","123.1","127.5"
"England","Under 75 mortality rate from all cardiovascular diseases","Third more deprived decile","2010 - 12","Value","107.9","105.9","109.8"
"England","Under 75 mortality rate from all cardiovascular diseases","Fourth more deprived decile","2010 - 12","Value","90.9","89.2","92.6"
"England","Under 75 mortality rate from all cardiovascular diseases","Fifth more deprived decile","2010 - 12","Value","78.7","77.2","80.2"
